2024-11-24 06:46:42,009 - INFO - Video initialized: 1380x764 @ 30.0fps
2024-11-24 06:46:49,740 - INFO - Video initialized: 1380x764 @ 30.0fps
2024-11-24 06:46:56,701 - INFO - Connected to server at localhost:8485
2024-11-24 06:46:57,795 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:57,842 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:57,886 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:57,929 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:57,972 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,016 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,059 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,102 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,144 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,187 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,230 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,275 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,318 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,361 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,405 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,449 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,492 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,536 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,580 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,624 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,667 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,711 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,758 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,801 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,845 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,888 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,931 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:58,974 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,017 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,060 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,104 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,146 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,189 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,232 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,278 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,322 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,366 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,409 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,453 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,497 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,541 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,584 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,627 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,670 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,713 - INFO - Performance Metrics - FPS: 23.74, Avg Processing Time: 41.17ms, Total Frames: 45, Runtime: 10.04s
2024-11-24 06:46:59,713 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,757 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,800 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,845 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,887 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,931 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:46:59,975 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,019 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,063 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,108 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,150 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,193 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,236 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,280 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,323 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,366 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,408 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,451 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,494 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,537 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,582 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,625 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,668 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,712 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,756 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,800 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,843 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,886 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,929 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:00,972 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,015 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,058 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,101 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,144 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,188 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,231 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,275 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,319 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,363 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,407 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,450 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,494 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,538 - ERROR - Frame processing error: invalid load key, '\xff'.
2024-11-24 06:47:01,582 - ERROR - Frame processing error: invalid load key, '\xff'.
